"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Actinobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,1.18288986687194,0,0,0.118274422248605,0,2.24654435147163,0,-0.244753678105288,0.170999707869557,0.00502615078369853,0,0.0869474158542811,0,-0.196126261039929,0,0,0,0,0.697708564297752,0.0563655801451098,0,0,0,0,0,0.00408922134583399,0.457878744057462,-1.11964442519128,0,0,0,0,0
"Capnocytophaga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0,-0.697054820372762,0,-1.34218398096492,-0.552762360781978,0,0,-2.12132474896856,0,-4.14961149524772,-0.0671640877019565,-0.341036095554712,-0.161831959439204,-0.813177695993021,0,0,-20.2537041928129,0,0,-0.108046587259733,0,0.641977118635227,0,0.0219023789797556,0.074473760995496,0,0,0,0,0,0,-0.180569741334331,0,-0.0177915483669992,0
"Leptotrichia",0,0.0538997991850784,0,0,0.00885818786457002,-0.0107610493382632,0,0,0.0177656972315577,0,0.0383123457504845,0,0,-0.00566407715393469,0,0.137030704949569,0,0,0,0,-0.0176341593080295,0,0,-0.00130346997222991,0,0,0,0.003411079034494,0.0705166387522091,0.153583855902582,0,0,0,0,0
"Neisseria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0,-0.129173310801359,0,0,-0.226320414114697,0,-0.120853578015781,0,-0.381333207372974,0,-0.320421258036007,-0.238293748344608,0,0,0,0,0,0,9.04297009736403,0,0,0.0299237874238385,0,0.0810938281251395,0,0,0,0,0,-0.065959814575524,0,-0.0650694769179262,0
